Brand,Title,Vendor,Handle,Product URL,Price,Available,Image URL (Lookskart CDN),Local Image Path,Product ID
Kerastase,Kerastase Specifique Potentialiste Hair & Scalp Serum 90ml,kerastase,kerastase-specifique-potentialiste-hair-scalp-serum-90ml,https://lookskart.com/products/kerastase-specifique-potentialiste-hair-scalp-serum-90ml,5400.00,No,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/ker_serum_potentialiste_3474636954704_alt1_26af9422-d88b-46f0-b504-ad81b0ca9bdc.webp?v=1746020241,/images/products/lookskart/all/kerastase/kerastase-specifique-potentialiste-hair-scalp-serum-90ml.webp,8299570233552
Kerastase,Kerastase Specifique Stimuliste Spray 125ml Nutri-energizing anti-hair loss,kerastase,kerastase-specifique-stimuliste-spray-125ml-nutri-energizing-anti-hair-loss-1,https://lookskart.com/products/kerastase-specifique-stimuliste-spray-125ml-nutri-energizing-anti-hair-loss-1,4700.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/Kerastase_Specifique_Stimuliste_Spray_125ml_Nutri-energizing_anti-hair_loss.webp?v=1764234526,/images/products/lookskart/all/kerastase/kerastase-specifique-stimuliste-spray-125ml-nutri-energizing-anti-hair-loss-1.webp,7833517555920
Kerastase,Kerastase Symbiose Anti-Dandruff Serum-90ml,kerastase,kerastase-symbiose-anti-dandruff-serum-90ml,https://lookskart.com/products/kerastase-symbiose-anti-dandruff-serum-90ml,5100.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00229-Serum-Cellulaire-main.jpg?v=1701415987,/images/products/lookskart/all/kerastase/kerastase-symbiose-anti-dandruff-serum-90ml.jpg,7891592577232
Kerastase,Kerastase Symbiose Bain Cream Anti-Dandruff Shampoo-250ml,kerastase,kerastase-symbiose-bain-creme-anti-dandruff-shampoo-250ml,https://lookskart.com/products/kerastase-symbiose-bain-creme-anti-dandruff-shampoo-250ml,2625.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00226_shampoo_packshot_image_250ml_1.webp?v=1764415036,/images/products/lookskart/all/kerastase/kerastase-symbiose-bain-creme-anti-dandruff-shampoo-250ml.webp,7891587956944
Kerastase,Kerastase|Densifique Cure Densite 10*6ml,kerastase,kerastase-densifique-cure-denste-10-6ml,https://lookskart.com/products/kerastase-densifique-cure-denste-10-6ml,5000.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/3474637277789_SK_5.jpg?v=1768483085,/images/products/lookskart/all/kerastase/kerastase-densifique-cure-denste-10-6ml.jpg,8411528560848
L'Oreal Professionnel,Kerastase |Curl| Bain Hydratation Douceur|250ml Gentle hydrating creamy shampoo,kerastase,kerastase-curl-bain-hydratation-douceur-250ml-gentle-hydrating-creamy-shampoo,https://lookskart.com/products/kerastase-curl-bain-hydratation-douceur-250ml-gentle-hydrating-creamy-shampoo,2625.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0055_1KCMBA250-00.jpg?v=1672137536,/images/products/lookskart/all/loreal-professionnel/kerastase-curl-bain-hydratation-douceur-250ml-gentle-hydrating-creamy-shampoo.jpg,7833451102416
L'Oreal Professionnel,Kerastase |Curl| Cream De Jour Fondamentale|150ml,kerastase,kerastase-curl-cream-de-jour-fondamentale-150ml,https://lookskart.com/products/kerastase-curl-cream-de-jour-fondamentale-150ml,2800.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00102_Curl_Manifesto_Cream_texture_new_720x_ecf338aa-bb0e-4e7c-b470-459a25216806.webp?v=1764410195,/images/products/lookskart/all/loreal-professionnel/kerastase-curl-cream-de-jour-fondamentale-150ml.webp,7833453232336
L'Oreal Professionnel,Kerastase |Curl| Masque Beurre Haute Nutrition|200ml Extra-rich nourishing mask,kerastase,kerastase-curl-masque-beurre-haute-nutrition-200ml-extra-rich-nourishing-mask,https://lookskart.com/products/kerastase-curl-masque-beurre-haute-nutrition-200ml-extra-rich-nourishing-mask,3850.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0054_2KCMMA200-00.jpg?v=1672139821,/images/products/lookskart/all/loreal-professionnel/kerastase-curl-masque-beurre-haute-nutrition-200ml-extra-rich-nourishing-mask.jpg,7833452085456
L'Oreal Professionnel,Kerastase Chroma Absolu Hair Oil-In-Serum 75ML-Refillable,kerastase,chroma-absolu-hair-oil-in-serum-75ml-refillable,https://lookskart.com/products/chroma-absolu-hair-oil-in-serum-75ml-refillable,5900.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00323_75ml_Packshot_Image1.webp?v=1744783707,/images/products/lookskart/all/loreal-professionnel/chroma-absolu-hair-oil-in-serum-75ml-refillable.webp,8295301644496
L'Oreal Professionnel,"Kerastase Chroma Bain Respect 500ml Shampoo for Damaged or Damaged and Coloured Hair, Nourishing Hair Bath,",kerastase,kerastase-shampoo-for-damaged-or-damaged-and-coloured-hair-nourishing-hair-bath-bain-riche-chroma-500ml,https://lookskart.com/products/kerastase-shampoo-for-damaged-or-damaged-and-coloured-hair-nourishing-hair-bath-bain-riche-chroma-500ml,4406.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/shop-cb-05204-01-chroma-absolu-bain-riche-chroma-respect---500ml--1.jpg?v=1744786381,/images/products/lookskart/all/loreal-professionnel/kerastase-shampoo-for-damaged-or-damaged-and-coloured-hair-nourishing-hair-bath-bain-riche-chroma-500ml.jpg,8295303479504
