Brand,Title,Vendor,Handle,Product URL,Collection URL,Price,Price (raw),Available,Compare at,Tags,Image URL,Product ID,Variant ID
Kerastase,Kerastase Specifique Bain Divalent Shampoo 250ml,kerastase,kerastase-specifique-bain-divalent-shampoo-250ml,https://lookskart.com/products/kerastase-specifique-bain-divalent-shampoo-250ml,https://lookskart.com/collections/kerastase,"Rs. 2,625.00",2625.00,Yes,,Brand_Kerastase; Concern_Hair Loss & Thinning; Type_Hair Care; Type_Treatments,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/34.jpg?v=1672233851,7833524994256,43160430149840
Kerastase,Kerastase Specifique Bain Prevention Shampoo 250ml,kerastase,kerastase-specifique-bain-prevention-shampoo-250ml-shampoo-for-prevention,https://lookskart.com/products/kerastase-specifique-bain-prevention-shampoo-250ml-shampoo-for-prevention,https://lookskart.com/collections/kerastase,"Rs. 2,625.00",2625.00,Yes,,Brand_Kerastase; Concern_Hair Loss & Thinning; Type_Fine Hair; Type_Hair Care; Type_Hair Serum; Type_Treatments,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-2_0021_41-KSBPR250.jpg?v=1672040732,7833502318800,43160398823632
Kerastase,Kerastase Specifique Bain Vital Dermo Calm Shampoo 250ml,kerastase,kerastase-specifique-bain-vital-dermo-calm-shampoo-250ml,https://lookskart.com/products/kerastase-specifique-bain-vital-dermo-calm-shampoo-250ml,https://lookskart.com/collections/kerastase,"Rs. 2,625.00",2625.00,Yes,,Brand_Kerastase; Concern_Hair Loss & Thinning; Type_Hair Care; Type_Treatments,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/37.jpg?v=1672234036,7833523323088,43160427954384
Kerastase,Kerastase Specifique Potentialiste Hair & Scalp Serum 90ml,kerastase,kerastase-specifique-potentialiste-hair-scalp-serum-90ml,https://lookskart.com/products/kerastase-specifique-potentialiste-hair-scalp-serum-90ml,https://lookskart.com/collections/kerastase,"Rs. 5,400.00",5400.00,No,,,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/ker_serum_potentialiste_3474636954704_alt1_26af9422-d88b-46f0-b504-ad81b0ca9bdc.webp?v=1746020241,8299570233552,44551525794000
Kerastase,Kerastase Specifique Stimuliste Spray 125ml Nutri-energizing anti-hair loss,kerastase,kerastase-specifique-stimuliste-spray-125ml-nutri-energizing-anti-hair-loss-1,https://lookskart.com/products/kerastase-specifique-stimuliste-spray-125ml-nutri-energizing-anti-hair-loss-1,https://lookskart.com/collections/kerastase,"Rs. 4,700.00",4700.00,Yes,,Brand_Kerastase; Concern_Hair Loss & Thinning; Type_Hair Care; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/Kerastase_Specifique_Stimuliste_Spray_125ml_Nutri-energizing_anti-hair_loss.webp?v=1764234526,7833517555920,43160420417744
Kerastase,Kerastase Symbiose Anti-Dandruff Serum-90ml,kerastase,kerastase-symbiose-anti-dandruff-serum-90ml,https://lookskart.com/products/kerastase-symbiose-anti-dandruff-serum-90ml,https://lookskart.com/collections/kerastase,"Rs. 5,100.00",5100.00,Yes,,,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00229-Serum-Cellulaire-main.jpg?v=1701415987,7891592577232,43372630966480
Kerastase,Kerastase Symbiose Bain Cream Anti-Dandruff Shampoo-250ml,kerastase,kerastase-symbiose-bain-creme-anti-dandruff-shampoo-250ml,https://lookskart.com/products/kerastase-symbiose-bain-creme-anti-dandruff-shampoo-250ml,https://lookskart.com/collections/kerastase,"Rs. 2,625.00",2625.00,Yes,,,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00226_shampoo_packshot_image_250ml_1.webp?v=1764415036,7891587956944,43372623659216
Kerastase,Kerastase|Densifique Cure Densite 10*6ml,kerastase,kerastase-densifique-cure-denste-10-6ml,https://lookskart.com/products/kerastase-densifique-cure-denste-10-6ml,https://lookskart.com/collections/kerastase,"Rs. 5,000.00",5000.00,Yes,,Brand_Kerastase; Concern_Fine Hair; Concern_Hair Care Female; Concern_Hair Loss & Thinning; For_Hair Care Female; For_Men; Hair Care; Type_Hair Care; Type_Hair Care (F),https://cdn.shopify.com/s/files/1/0624/7618/9904/files/3474637277789_SK_5.jpg?v=1768483085,8411528560848,44901299257552
L'Oreal Professionnel,Kerastase |Curl| Bain Hydratation Douceur|250ml Gentle hydrating creamy shampoo,kerastase,kerastase-curl-bain-hydratation-douceur-250ml-gentle-hydrating-creamy-shampoo,https://lookskart.com/products/kerastase-curl-bain-hydratation-douceur-250ml-gentle-hydrating-creamy-shampoo,https://lookskart.com/collections/loreal-professional,"Rs. 2,625.00",2625.00,Yes,,Brand_L'oreal; Type_Dry Hair; Type_Dry Hair & Scalp; Type_Hair Care; Type_Mask,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0055_1KCMBA250-00.jpg?v=1672137536,7833451102416,43160313200848
L'Oreal Professionnel,Kerastase |Curl| Cream De Jour Fondamentale|150ml,kerastase,kerastase-curl-cream-de-jour-fondamentale-150ml,https://lookskart.com/products/kerastase-curl-cream-de-jour-fondamentale-150ml,https://lookskart.com/collections/loreal-professional,"Rs. 2,800.00",2800.00,Yes,,Brand_L'oreal; Type_Dry Hair; Type_Dry Hair & Scalp; Type_Hair Care; Type_Hair Oil,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00102_Curl_Manifesto_Cream_texture_new_720x_ecf338aa-bb0e-4e7c-b470-459a25216806.webp?v=1764410195,7833453232336,43160316674256
L'Oreal Professionnel,Kerastase |Curl| Masque Beurre Haute Nutrition|200ml Extra-rich nourishing mask,kerastase,kerastase-curl-masque-beurre-haute-nutrition-200ml-extra-rich-nourishing-mask,https://lookskart.com/products/kerastase-curl-masque-beurre-haute-nutrition-200ml-extra-rich-nourishing-mask,https://lookskart.com/collections/loreal-professional,"Rs. 3,850.00",3850.00,Yes,,Brand_L'oreal; Type_Dry Hair; Type_Dry Hair & Scalp; Type_Hair Care; Type_Mask,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0054_2KCMMA200-00.jpg?v=1672139821,7833452085456,43160314675408
L'Oreal Professionnel,Kerastase Chroma Absolu Hair Oil-In-Serum 75ML-Refillable,kerastase,chroma-absolu-hair-oil-in-serum-75ml-refillable,https://lookskart.com/products/chroma-absolu-hair-oil-in-serum-75ml-refillable,https://lookskart.com/collections/loreal-professional,"Rs. 5,900.00",5900.00,Yes,,Brand_Kerastase; Brand_L'oreal; Brand_L'Or̩al; Concern_Chemicaly Treated; Concern_Colored Hair; Concern_Coloured; Concern_Hair Care Female; For_Hair Care Female; For_Men; Hair Care; Hair oil; Serum; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Oil; Type_Hair Serum; Type_Hair Serums,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00323_75ml_Packshot_Image1.webp?v=1744783707,8295301644496,44539009827024
L'Oreal Professionnel,"Kerastase Chroma Bain Respect 500ml Shampoo for Damaged or Damaged and Coloured Hair, Nourishing Hair Bath,",kerastase,kerastase-shampoo-for-damaged-or-damaged-and-coloured-hair-nourishing-hair-bath-bain-riche-chroma-500ml,https://lookskart.com/products/kerastase-shampoo-for-damaged-or-damaged-and-coloured-hair-nourishing-hair-bath-bain-riche-chroma-500ml,https://lookskart.com/collections/loreal-professional,"Rs. 4,406.00",4406.00,Yes,,Brand_Kerastase; Brand_L'oreal; Brand_L'Or̩al; Concern_Colored Hair; Concern_Coloured; Concern_Hair Care Female; For_Hair Care Female; Hair Care; Type_All Hair Types; Type_Colored; Type_Colored Hair; Type_Hair Care; Type_Hair Care (F); Type_Hair Shampoo; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/shop-cb-05204-01-chroma-absolu-bain-riche-chroma-respect---500ml--1.jpg?v=1744786381,8295303479504,44539013333200
L'Oreal Professionnel,Kerastase Elixir Ultime Hair Oil-In-Serum Refill (75ml),kerastase,kerastase-elixir-ultime-hair-oil-in-serum-refill-75ml,https://lookskart.com/products/kerastase-elixir-ultime-hair-oil-in-serum-refill-75ml,https://lookskart.com/collections/loreal-professional,"Rs. 4,500.00",4500.00,Yes,4500.00,bestseller; Brand_Kerastase; Brand_L'oreal; Brand_L'Or̩al; For_Hair Care Female; For_Men; Hair Care; Hair oil; Refill; Type_All Hair Types; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Oil; Type_Hair Serum; Type_Hair Serums; Type_Serum,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/kerastase-elixir-ultime-lhuile-originale-oil-refill-75-ml.jpg?v=1736759398,8243435700432,44390748422352
L'Oreal Professionnel,Kerastase Elixir Ultime Original Refillable Hair Oil 75ml,kerastase,kerastase-elixir-ultime-original-refillable-hair-oil-75ml,https://lookskart.com/products/kerastase-elixir-ultime-original-refillable-hair-oil-75ml,https://lookskart.com/collections/loreal-professional,"Rs. 5,900.00",5900.00,Yes,,Brand_Kerastase; Brand_L'oreal; Brand_Lea'Levett; For_Hair Care Female; For_Men; frizz control; Hair Care; Hair oil; Men; Serum; Type_All Hair Types; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Oil; Type_Hair Serum; Type_Hair Serums; Type_Serum,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/ElixirUltime1_b10a2319-a0c3-44a3-aa9e-001ff915988b_refillable.webp?v=1736759328,8243433996496,44390743015632
L'Oreal Professionnel,Kerastase Genesis - Bain Hydra-Fortifiant Shampoo 500ml,kerastase,kerastase-genesis-bain-hydra-fortifiant-shampoo-500ml,https://lookskart.com/products/kerastase-genesis-bain-hydra-fortifiant-shampoo-500ml,https://lookskart.com/collections/loreal-professional,"Rs. 4,950.00",4950.00,Yes,4800.00,Brand_Kerastase; Brand_L'oreal; Brand_L'Or̩al; Concern_Hair Care Female; For_Hair Care Female; For_Men; Hair Care; Type_All Hair Types; Type_Hair Care; Type_Hair Care (F); Type_Hair Shampoo; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/bainhydrafortifiantgenesiskerastase-500ml_reflexions_unisex_salon_700x700_748e8b9b-7bea-43f5-91de-02dc8d82b94b.webp?v=1736760263,8243736608976,44392114389200
L'Oreal Professionnel,Kerastase Genesis - Bain Hydra-Fortifiant Shampoo Refill 500ml,kerastase,kerastase-genesis-bain-hydra-fortifiant-shampoo-refill-500ml,https://lookskart.com/products/kerastase-genesis-bain-hydra-fortifiant-shampoo-refill-500ml,https://lookskart.com/collections/loreal-professional,"Rs. 4,500.00",4500.00,Yes,4300.00,Brand_Kerastase; Brand_L'oreal; Brand_L'Or̩al; Concern_Hair Care Female; For_Hair Care Female; For_Men; Hair Care; Refill; Type_All Hair Types; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Shampoo; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/bainhydrafortifiantgenesiskerastase-refill-500ml_reflexions_unisex_salon_720x_5853764d-bfde-4af3-9dfe-c7e9b8c86650.webp?v=1749797283,8243735953616,44392107475152
L'Oreal Professionnel,Kerastase Gloss Absolu Anti-Frizz Heat Protectant Spray 190ml,kerastase,kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml,https://lookskart.com/products/kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml,https://lookskart.com/collections/loreal-professional,"Rs. 3,000.00",3000.00,Yes,,Brand_Kerastase; Brand_L'oreal; Brand_L'Or̩al; Concern_Fine Hair; Concern_Frizzy; Concern_Frizzy Hair; Concern_Hair Care Female; For_Hair Care Female; frizz control; hair ceam; Type_Frizzy; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Cream,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00330_spray_packshot_image_190ml_1.webp?v=1752052306,8330831593680,44631103176912
